token	exchange	symbol	series	security_desc
17778	NSE_EQ	ATL	EQ	ALLCARGO TERMINALS LTD
759007	NSE_EQ	ATLANTAELE	EQ	ATLANTA ELECTRICALS LTD
4568	NSE_EQ	ATLASCYCLE	EQ	ATLAS CYCLE (HARYANA) LTD
263	NSE_EQ	ATUL	EQ	ATUL LTD
30023	NSE_EQ	ATULAUTO	EQ	ATUL AUTO LIMITED
21238	NSE_EQ	AUBANK	EQ	AU SMALL FINANCE BANK LTD
14106	NSE_EQ	AUTOIND	EQ	AUTOLINE INDUSTRIES LTD
21406	NSE_EQ	AVADHSUGAR	EQ	AVADH SUG & ENERGY LTD
15058	NSE_EQ	AVALON	EQ	AVALON TECHNOLOGIES LTD
24610	NSE_EQ	AVANTEL	EQ	AVANTEL LIMITED
7936	NSE_EQ	AVANTIFEED	EQ	AVANTI FEEDS LIMITED
15589	NSE_EQ	AVG	EQ	AVG LOGISTICS LIMITED
25984	NSE_EQ	AVL	EQ	ADITYA VISION LIMITED
13557	NSE_EQ	AVONMORE	EQ	AVONMORE CAP&MGT SERV LTD
8827	NSE_EQ	AVROIND	EQ	AVRO INDIA LIMITED
14008	NSE_EQ	AVTNPL	EQ	AVT NATURAL PRODUCTS LTD
23864	NSE_EQ	AWFIS	EQ	AWFIS SPACE SOLUTIONS LTD
1797	NSE_EQ	AWHCL	EQ	ANTONY WASTE HDG CELL LTD
5900	NSE_EQ	AXISBANK	EQ	AXIS BANK LIMITED
1044	NSE_EQ	AXISBNKETF	EQ	AXISAMC - AXISBNKETF
3530	NSE_EQ	AXISBPSETF	EQ	AXISAMC - AXISBPSETF
5732	NSE_EQ	AXISCETF	EQ	AXISAMC - AXISCETF
20532	NSE_EQ	AXISGOLD	EQ	AXIS MF - AXIS GOLD ETF
3608	NSE_EQ	AXISHCETF	EQ	AXISAMC - AXISHCETF
11193	NSE_EQ	AXISILVER	EQ	AXISAMC - AXISILVER
21252	NSE_EQ	AXISNIFTY	EQ	AXISAMC - AXISNIFTY
3010	NSE_EQ	AXISTECETF	EQ	AXISAMC - AXISTECETF
30155	NSE_EQ	AXISVALUE	EQ	AXISAMC - AXISVALUE
9902	NSE_EQ	AXITA	EQ	AXITA COTTON LIMITED
14742	NSE_EQ	AXSENSEX	EQ	AXISAMC - AXSENSEX
10285	NSE_EQ	AYMSYNTEX	EQ	AYM SYNTEX LIMITED
20905	NSE_EQ	AZAD	EQ	AZAD ENGINEERING LIMITED
11226	NSE_EQ	BAGFILMS	EQ	B.A.G FILMS AND MEDIA LTD
13794	NSE_EQ	BAIDFIN	EQ	BAID FINSERV LIMITED
16669	NSE_EQ	BAJAJ-AUTO	EQ	BAJAJ AUTO LIMITED
19531	NSE_EQ	BAJAJCON	EQ	BAJAJ CONSUMER CARE LTD
15034	NSE_EQ	BAJAJELEC	EQ	BAJAJ ELECT.LTD
25203	NSE_EQ	BALAJEE	EQ	SHREE TIRUPATI BALAJEE L
9158	NSE_EQ	BALAJITELE	EQ	BALAJI TELEFILMS LIMITED.
11309	NSE_EQ	BALAXI	EQ	BALAXI PHARMA LTD
335	NSE_EQ	BALKRISIND	EQ	BALKRISHNA IND. LTD
338	NSE_EQ	BALMLAWRIE	EQ	BALMER LAWRIE & CO LTD
13441	NSE_EQ	BALPHARMA	EQ	BAL PHARMA LTD.
341	NSE_EQ	BALRAMCHIN	EQ	BALRAMPUR CHINI MILLS LTD
23607	NSE_EQ	BALUFORGE	EQ	BALU FORGE INDUSTRIES LTD
347	NSE_EQ	BANARBEADS	EQ	BANARAS BEADS LTD
350	NSE_EQ	BANARISUG	EQ	BANNARI AMMAN SUGARS LTD
13880	NSE_EQ	BANCOINDIA	EQ	BANCO PRODUCTS (I) LTD
2263	NSE_EQ	BANDHANBNK	EQ	BANDHAN BANK LIMITED
15303	NSE_EQ	BANG	EQ	BANG OVERSEAS LTD.
822	NSE_EQ	BANKA	EQ	BANKA BIOLOO LIMITED
4668	NSE_EQ	BANKBARODA	EQ	BANK OF BARODA
11439	NSE_EQ	BANKBEES	EQ	NIP IND ETF BANK BEES
21986	NSE_EQ	BANKBETF	EQ	BFAM - BANKBETF
13644	NSE_EQ	BANKETFADD	EQ	DSPAMC - DSPBANKETF
24386	NSE_EQ	BANSALWIRE	EQ	BANSAL WIRE INDUSTRIES L
368	NSE_EQ	BASF	EQ	BASF INDIA LTD
12034	NSE_EQ	BASML	EQ	BANNARI AM SPIN MILL LTD.
371	NSE_EQ	BATAINDIA	EQ	BATA INDIA LTD
17927	NSE_EQ	BAYERCROP	EQ	BAYER CROPSCIENCE LTD
7196	NSE_EQ	BBETF0432	EQ	EDELAMC - BBETF0432
13761	NSE_EQ	BBL	EQ	BHARAT BIJLEE LTD
24117	NSE_EQ	BBNPNBETF	EQ	BARODABNP - BBNPNBETF
20547	NSE_EQ	BBNPPGOLD	EQ	BARODABNP - BBNPPGOLD
3435	NSE_EQ	BBOX	EQ	BLACK BOX LIMITED
2144	NSE_EQ	BDL	EQ	BHARAT DYNAMICS LIMITED
17933	NSE_EQ	BEARDSELL	EQ	BEARDSELL LIMITED
1628	NSE_EQ	BECTORFOOD	EQ	MRS BECTORS FOOD SPE LTD
20196	NSE_EQ	BEDMUTHA	EQ	BEDMUTHA INDUST LTD
383	NSE_EQ	BEL	EQ	BHARAT ELECTRONICS LTD
2306	NSE_EQ	BESTAGRO	EQ	BEST AGROLIFE LIMITED
21113	NSE_EQ	BFINVEST	EQ	BF INVESTMENT LIMITED
5220	NSE_EQ	BFSI	EQ	MIRAEAMC - MAFSETF
14567	NSE_EQ	BFUTILITIE	EQ	BF UTILITIES LIMITED
